U2,RF_amplitude,mesh_voltage,MCP_front,Ex,Ey,Ez,time_cost,lifetime
-0.4,6.95,188,300,-0.14,0.08,0.06,,
-0.1375,2.4,80,300,-0.092,0.02,0.012,,
-0.05,8,200,500,-0.14,0.02,0,,
-0.33,2.4,104,300,-0.128,0.08,0.048,,
-0.33,6.6,104,500,-0.08,0.032,0.012,,
-0.33,2.4,176,500,-0.095,0.068,0,,
-0.05,6.6,176,340,-0.107,0.068,0,,
-0.05,8,80,340,-0.128,0.032,0.048,,
-0.05,2.4,104,460,-0.08,0.08,0.012,,
-0.33,6.25,104,340,-0.14,0.071,0,,
-0.4,2.4,104,500,-0.14,0.032,0.012,,
-0.12,6.95,80,300,-0.08,0.08,0.048,,
-0.4,1,200,470,-0.131,0.02,0.06,,
-0.4,2.4,176,340,-0.08,0.068,0.012,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.3125,8,200,300,-0.095,0.068,0.012,,
-0.4,6.6,80,300,-0.14,0.02,0.051,,
-0.05,8,200,500,-0.08,0.02,0.06,,
-0.05,2.4,176,340,-0.14,0.032,0.06,,
-0.4,1,80,500,-0.08,0.08,0.06,,
-0.05,8,104,500,-0.128,0.02,0.048,,
-0.05,8,98,470,-0.089,0.02,0,,
-0.4,1,80,500,-0.14,0.08,0.06,,
-0.05,1,200,300,-0.08,0.029,0,,
-0.4,8,98,460,-0.128,0.02,0,,
-0.4,6.6,200,330,-0.14,0.029,0,,
-0.3475,8,176,300,-0.08,0.08,0,,
-0.4,1,104,460,-0.092,0.08,0.048,,
-0.4,2.4,200,300,-0.125,0.032,0.06,,
-0.4,1,176,340,-0.128,0.032,0.012,,
-0.4,8,176,500,-0.128,0.068,0.048,,
-0.4,8,80,500,-0.14,0.08,0.06,,
-0.05,6.6,104,460,-0.128,0.068,0,,
-0.05,1,104,340,-0.14,0.068,0.012,,
-0.33,6.95,80,500,-0.092,0.032,0.012,,
-0.33,2.4,80,300,-0.092,0.032,0.048,,
-0.4,8,176,350,-0.08,0.032,0.012,,
-0.4,2.05,200,500,-0.089,0.08,0.06,,
-0.4,6.6,176,460,-0.128,0.032,0,,
-0.33,6.6,104,340,-0.092,0.02,0.06,,
-0.4,8,200,470,-0.08,0.02,0.06,,
-0.12,6.6,80,300,-0.092,0.035,0.048,,
-0.33,2.4,104,500,-0.092,0.068,0,,
-0.12,2.4,140,460,-0.14,0.08,0.012,,
-0.225,8,104,340,-0.128,0.032,0,,
-0.05,8,98,500,-0.14,0.08,0.051,,
-0.12,2.4,200,460,-0.092,0.068,0.06,,
-0.3125,1,80,340,-0.092,0.068,0.015,,
-0.33,1,104,450,-0.128,0.08,0.06,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.12,2.4,200,500,-0.08,0.032,0,,
-0.12,6.6,176,460,-0.14,0.02,0.012,,
-0.4,1,200,500,-0.08,0.02,0.06,,
-0.4,2.4,176,300,-0.14,0.032,0,,
-0.4,8,80,500,-0.14,0.071,0.06,,
-0.4,6.95,200,300,-0.131,0.08,0,,
-0.33,6.6,176,340,-0.08,0.032,0,,
-0.4,8,176,470,-0.08,0.068,0.06,,
-0.12,8,104,500,-0.08,0.068,0.012,,
-0.05,1,80,300,-0.14,0.02,0,,
-0.3125,1,104,340,-0.092,0.032,0.06,,
-0.33,8,176,300,-0.128,0.05,0.012,,
-0.05,8,104,500,-0.14,0.032,0.051,,
-0.4,1,200,500,-0.131,0.029,0,,
-0.12,6.6,200,500,-0.116,0.02,0.012,,
-0.4,6.6,104,460,-0.089,0.08,0.012,,
-0.05,8,200,460,-0.092,0.032,0,,
-0.4,8,200,470,-0.14,0.02,0.06,,
-0.12,8,176,500,-0.08,0.032,0.012,,
-0.05,1,104,500,-0.08,0.068,0.048,,
-0.12,1,176,500,-0.08,0.068,0.012,,
-0.05,8,176,340,-0.092,0.053,0.048,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.12,2.4,176,300,-0.092,0.02,0.048,,
-0.12,1,152,460,-0.125,0.032,0.06,,
-0.4,6.6,200,340,-0.128,0.032,0.048,,
-0.12,6.6,176,340,-0.092,0.08,0,,
-0.4,2.75,176,340,-0.08,0.032,0.012,,
-0.12,6.6,110,300,-0.092,0.08,0.048,,
-0.33,6.6,176,340,-0.08,0.032,0,,
-0.4,1,80,300,-0.14,0.02,0.06,,
-0.05,8,200,300,-0.08,0.02,0,,
-0.3475,6.95,200,300,-0.08,0.08,0.06,,
-0.05,2.4,176,460,-0.11,0.068,0.06,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.12,8,176,340,-0.08,0.08,0.048,,
-0.1375,8,200,340,-0.128,0.08,0.015,,
-0.4,2.4,80,300,-0.08,0.02,0.048,,
-0.4,2.4,170,500,-0.128,0.05,0.06,,
-0.05,8,200,500,-0.14,0.08,0.06,,
-0.4,8,200,460,-0.08,0.08,0,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.05,8,200,500,-0.08,0.02,0,,
-0.1375,2.4,104,500,-0.08,0.035,0.06,,
-0.4,4.5,104,340,-0.128,0.068,0.06,,
-0.3125,2.4,104,300,-0.092,0.032,0,,
-0.12,1,176,300,-0.14,0.02,0.045,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.12,8,110,340,-0.14,0.068,0,,
-0.4,1,80,500,-0.134,0.08,0,,
